"1" "2" "3" "4" "5" "6" "7" "8" "9" "10" "11"
21245 21265 21257 21245 21245 21245 21245 21245 NA 21245 21245
51324 51339 51506 51407 51373 51388 51471 51381 NA 51373 51414
13332 13332 13332 13332 13332 13332 13332 13332 13332 13332 13332
22830 22875 23048 22866 22849 22861 22944 22872 22893 22834 22853
25745 25796 25752 25743 25743 25760 25818 25745 25748 25743 25803
5638 NA NA 5634 5631 5641 5638 5629 NA 5634 5624
78463 NA NA 78446 78453 78432 78447 78420 NA 78408 78467
NA NA NA NA 33651 33595 33606 33628 NA 33651 33643
NA NA NA NA 155171 155458 155362 155013 156019 155263 155181
NA NA NA NA 8460 NA NA 8460 8461 8460 8460
NA NA NA NA 17026 NA NA 17044 NA 17026 17048
NA NA NA NA 782 NA NA NA NA 782 780
NA NA NA NA 24507 NA NA NA NA 24382 24293
NA NA NA NA 29941 NA NA NA NA 29941 29943
