"1" "2" "3" "4" "5" "6" "7" "8" "9" "10" "11"
8407 8407 8407 8407 8407 NA NA 8407 8407 8407 8407
160746 160499 160526 160116 160396 160341 160446 160413 160117 160379 160220
991 993 993 990 992 992 990 991 993 991 995
47812 47898 47812 47812 47812 47825 47812 47812 47951 47858 47812
192849 192424 192377 192331 192332 192406 192392 192068 192404 191905 192192
138234 138745 138018 137604 138472 NA NA 137410 137333 138174 138352
NA NA 28940 28940 28940 NA 28940 28940 28940 28940 28940
NA NA NA 79121 NA 79292 79215 79116 78878 79005 79077
NA NA NA 66360 NA NA NA 66596 66277 66484 66484
NA NA NA 24216 NA NA NA 24345 24238 24275 24312
NA NA NA 8407 NA NA NA 8407 NA 8407 8407
NA NA NA 160237 NA NA NA 160357 NA 160583 160425
NA NA NA 79315 NA NA NA 79122 NA 79005 79077
