"1" "2" "3" "4" "5" "6" "7" "8" "9" "10"
18880 18880 18880 18880 18873 NA 18880 18880 18856 18880
830 830 830 830 830 830 830 830 830 830
815 815 815 815 815 815 815 815 815 815
36402 36459 36421 36442 36450 36560 36477 36464 36403 36442
96170 95853 95975 95812 95832 95894 95654 95669 96051 95790
22879 22834 22846 22822 22867 22925 22843 22904 22834 22822
NA 1275 NA 1275 1275 NA 1275 1275 1280 1275
NA 51390 NA 51181 51374 NA 51321 51237 51288 51150
NA NA NA 38805 NA 38942 38699 38768 38769 38805
NA NA NA 78372 NA NA 78393 78372 78389 78372
NA NA NA 18880 NA NA 18880 18880 18856 18880
NA NA NA 830 NA NA 830 830 830 830
NA NA NA 51202 NA NA 51335 51237 51288 51181
