"1" "2" "3" "4" "5" "6" "7" "8" "9" "10"
617 617 623 620 616 622 624 620 618 613
87279 87369 87429 87252 87033 87169 87431 87032 87159 87330
86677 86665 86572 86467 86488 86419 86706 86384 86704 86258
21805 21884 21846 21846 21831 21923 21904 21826 21836 21901
108146 108283 108213 108277 107977 107995 108117 108021 108077 108007
25743 25791 25791 25743 25745 25763 25743 25743 25743 25743
74836 NA NA 74745 74370 74528 74700 74621 75035 74421
6460 NA NA 6460 6460 6460 6460 6460 6460 6460
NA NA NA NA 95855 95822 95903 95954 95790 95597
NA NA NA NA 21278 21245 NA 21270 21265 21302
NA NA NA NA 196876 NA NA 196815 197343 196860
NA NA NA NA 78384 NA NA 78374 78417 78363
NA NA NA NA NA NA NA 25910 25912 25870
NA NA NA NA NA NA NA 15726 NA 15700
