"1" "2" "3" "4" "5" "6" "7" "8" "9" "10" "11"
47271 47301 47280 47277 47252 47288 47225 47250 47307 47329 47285
28940 28940 28940 28940 28940 28940 28940 28940 28940 28940 28940
19722 19788 19761 19734 19756 19731 19772 19764 19766 19729 19727
44157 44230 44311 44067 44076 44130 44126 44138 43933 43977 44074
481 487 487 485 484 484 484 482 482 484 485
47812 NA NA 47812 47812 47944 47812 47812 47812 47812 47812
19331 NA NA 19242 19230 19261 19317 19319 19230 19274 19230
NA NA NA NA 1034 1034 1034 1034 1034 1034 1034
NA NA NA NA 1336 1343 1338 1339 1336 1336 1335
NA NA NA NA 13332 NA NA 13332 13332 13332 13332
NA NA NA NA 1280 NA NA 1275 1276 1275 1285
NA NA NA NA NA NA NA NA 147918 148024 147910
