"1" "2" "3" "4" "5" "6" "7" "8" "9" "10" "11"
14138 14138 14138 14138 14138 14138 14138 14138 14138 14138 14138
903 903 903 903 903 903 903 903 903 903 903
11040 11040 11040 11042 11040 11040 11040 11040 11040 11040 11040
13620 13620 13620 13622 13620 13620 13620 13620 13620 13620 13620
333925 334257 333880 333684 333997 333616 334164 333660 333321 333417 333788
122338 121928 122168 122730 122157 121982 121860 122323 122070 122070 121842
NA NA 6460 6460 6460 6460 6460 6460 6460 6460 6460
NA NA 63322 63500 63616 63346 63454 63323 63243 63185 63298
NA NA 12747 NA NA 12747 12747 12747 12747 12747 12747
NA NA NA NA NA 8460 NA 8460 8460 8472 8460
NA NA NA NA NA NA NA NA 47311 47284 47270
