"1" "2" "3" "4" "5" "6" "7" "8" "9" "10" "11"
63564 63337 63365 63020 63314 NA 63180 63117 63298 63110 63015
24145 24145 24145 24145 24145 24147 24145 24145 24147 24145 24145
90117 90222 90031 89877 90173 90282 90063 89893 NA 89884 90172
25569 25585 25575 25588 25575 25601 25576 25591 NA 25579 25572
60956 60835 60321 60034 60583 60955 60720 60115 NA 60077 60183
8460 8472 8460 8472 8460 NA 8460 8466 8472 8460 8468
NA NA 69481 69391 69465 NA 69431 69387 69435 69426 69367
NA NA 1338 1339 1341 NA 1339 1343 NA 1342 1340
NA NA NA 1275 NA 1276 1277 1276 NA 1275 1275
NA NA NA 33621 NA NA 33608 33614 NA 33604 33635
NA NA NA 63020 NA NA NA 63122 63369 63110 63187
NA NA NA 24145 NA NA NA 24145 NA 24145 24145
NA NA NA 1339 NA NA NA NA NA 1342 1340
