"1" "2" "3" "4" "5" "6" "7" "8" "9" "10" "11"
95835 96286 96237 95975 95966 NA NA NA 95929 95866 96134
830 830 830 830 830 NA NA NA 830 830 830
11040 11091 11040 11040 11040 11042 11042 11041 11040 11040 11040
82911 83321 83447 82921 83165 83310 83277 83237 82976 83067 82941
13590 13590 13590 13590 13590 NA NA 13590 13590 13590 13590
56095 56453 56353 56397 56064 56647 56930 NA 56045 56116 56223
94328 NA NA 94270 94405 94584 94561 NA 94377 94306 94253
1623 NA NA 1636 1632 NA NA NA 1628 1620 1637
620 NA NA NA NA 636 632 629 620 616 621
87341 NA NA NA NA NA NA 87424 87408 87063 87177
147946 NA NA NA NA NA NA NA 148041 147853 147915
1015 NA NA NA NA NA NA NA 1015 1015 1015
24388 NA NA NA NA NA NA NA 24357 24306 24351
815 NA NA NA NA NA NA NA 815 815 815
