"1" "2" "3" "4" "5" "6" "7" "8" "9" "10"
45607 45607 45607 45607 45607 45607 45607 45607 45607 45607
107021 107045 107083 106964 107042 107139 107075 107093 107002 107038
10179 10121 10179 10149 10136 10134 10129 10158 10179 10129
13590 13590 13590 13590 13590 13590 13590 13590 13590 13590
26376 26362 26406 26381 26381 26383 26382 26386 26378 26386
55322 55413 55387 55328 55070 55624 55333 55464 55461 55452
28940 NA NA 28940 28940 28940 28940 28940 28940 28940
13620 NA NA 13620 13620 13620 13620 NA 13620 13620
121698 NA NA NA 121856 122117 122004 122157 121840 121615
44017 NA NA NA 44176 NA NA 44378 44283 44044
1377 NA NA NA 1377 NA NA NA 1377 1377
19629 NA NA NA 19565 NA NA NA NA 19565
13332 NA NA NA 13332 NA NA NA NA 13332
20312 NA NA NA 20293 NA NA NA NA 20350
