"1" "2" "3" "4" "5" "6" "7" "8" "9" "10" "11"
56616 56120 56226 55962 56383 56482 56089 55597 55780 NA 55600
19789 19793 19766 19766 19753 19807 19804 19800 19778 NA 19743
26383 26395 26394 26392 26394 26419 26401 26388 26386 NA 26381
848 848 848 849 848 848 848 848 848 855 855
64981 64865 64677 64603 64837 64976 64842 64738 64655 65045 64795
28940 28940 28940 28940 28940 28940 28940 28940 28940 NA 28940
NA NA 100983 101191 101241 101281 101133 101019 101082 NA 100891
NA NA 333584 333467 333856 333382 333732 333604 333202 333662 332763
NA NA NA 26845 NA 26667 26595 26612 26645 NA 26733
NA NA NA 21886 NA NA NA 21816 21829 21842 21822
NA NA NA 55947 NA NA NA NA 55810 56047 55721
NA NA NA 19762 NA NA NA NA 19776 NA 19743
NA NA NA 333467 NA NA NA NA 333275 NA 333136
