"1" "2" "3" "4" "5" "6" "7" "8" "9" "10" "11"
622 617 618 618 620 627 615 613 620 617 615
86726 86624 86486 86271 86369 86638 86568 86341 86387 86411 86474
19789 19794 19774 19764 19753 19807 19800 19800 19776 19762 19740
58613 58628 58647 58624 58627 58619 58637 58625 58608 58620 58631
45607 45607 45607 45607 45607 45607 45607 45607 45607 45607 45607
19261 19230 19230 19244 19244 19236 19261 19331 19331 19230 19259
NA NA 116652 116463 116204 116821 116484 116466 116210 116488 116584
NA NA 6460 6460 6460 6460 6460 6460 6460 6460 6460
NA NA NA 42852 NA 42923 42881 42983 42897 42870 42963
NA NA NA 65497 NA NA NA 65672 65747 65569 65795
NA NA NA 618 NA NA NA NA NA 617 615
