"1" "2" "3" "4" "5" "6" "7" "8" "9" "10"
8407 8407 8407 8407 8407 8407 NA NA 8407 8407
25915 25924 26033 25899 25917 25896 NA 25956 25906 25897
116521 116282 117098 115942 116411 116735 116778 116727 116246 115941
26076 26080 26071 26012 26051 26082 26163 NA 26023 26093
688 687 686 687 687 686 NA 686 686 686
14138 14138 14138 14138 14138 14138 14138 14138 14138 14138
107953 NA NA 108104 107909 108059 108140 108151 108009 107994
943 NA NA 943 942 960 NA 954 948 938
NA NA NA 38818 NA 38728 38853 38701 38699 38801
NA NA NA 5627 NA 5638 NA 5630 5626 5629
NA NA NA 68949 NA 69085 NA 69647 68995 68874
NA NA NA 37278 NA 37278 NA NA 37279 37310
NA NA NA 521 NA 521 NA NA NA 521
NA NA NA 1015 NA 1015 NA NA NA 1015
NA NA NA 18880 NA 18880 NA NA NA 18886
