"1" "2" "3" "4" "5" "6" "7" "8" "9" "10" "11"
25886 26024 25926 25920 25922 25936 25974 25967 25943 25955 NA
108361 108344 108112 107917 NA 108268 107999 108101 108236 107973 NA
781 787 781 771 773 775 776 766 779 763 776
333859 333545 333963 333832 334123 333382 333996 333108 333710 333730 333937
67818 67506 67491 67232 67716 67815 67116 67083 67094 67104 NA
44563 44508 44405 44178 NA 44306 44171 44241 44232 44296 NA
NA NA 830 830 830 830 830 830 830 830 NA
NA NA NA 20557 NA 20557 20557 20557 20557 20557 20557
NA NA NA 1377 NA 1367 1377 1367 1367 1377 1378
NA NA NA 22845 NA NA NA 23024 22837 22971 NA
NA NA NA 25900 NA NA NA 25967 25943 25955 NA
NA NA NA 107917 NA NA NA 108088 NA 108036 108039
NA NA NA 20557 NA NA NA 20557 NA 20583 NA
NA NA NA 1377 NA NA NA 1367 NA 1377 NA
