"1" "2" "3" "4" "5" "6" "7" "8" "9" "10"
12747 12747 12747 12747 12747 NA 12747 12747 12747 NA
13332 13332 13332 13332 13332 13332 13332 13332 13332 NA
20557 20557 20557 20557 20583 20562 20557 20557 20557 NA
20378 20303 20325 20276 20417 20371 20372 20324 20312 20324
10919 10883 10896 10906 10899 10931 10892 10873 10880 10873
5633 5626 5624 5627 5629 5633 5629 5624 5625 NA
NA 521 NA 521 521 NA 521 521 521 521
NA 95964 NA 95580 96132 NA 95965 95571 95517 95571
NA 44267 NA 44263 44237 44274 44263 44237 44237 NA
NA 21225 NA 21225 21225 NA 21225 21225 21366 NA
NA 12747 NA 12747 12747 NA 12747 12747 12747 NA
NA 13332 NA 13332 13332 NA 13332 13332 NA 13332
NA 96040 NA 95658 96132 NA 96045 95571 NA NA
