"1" "2" "3" "4" "5" "6" "7" "8" "9" "10" "11"
89570 89605 89441 89279 89614 NA NA 89188 89341 89223 89382
74704 74710 74617 74656 NA 74692 74688 74602 74578 74462 74878
1524 1524 1524 1524 1524 1524 1524 1524 1524 1524 1524
60776 60573 60200 59959 60512 60929 60403 60071 60310 60132 60102
20557 20557 20557 20557 20583 20557 20557 20557 20557 20557 NA
1646 1630 1629 1620 1640 NA 1621 1613 1622 1623 1625
NA NA 42922 42852 42903 NA NA 42983 42914 42775 NA
NA NA 66492 66294 NA NA NA 66277 66213 66349 66288
NA NA NA 26055 NA 26229 26144 26049 25986 26070 26058
NA NA NA 101191 NA NA NA 101082 101122 100944 101318
NA NA NA 89311 NA NA NA 89244 89433 89201 NA
NA NA NA 74419 NA NA NA 74645 NA 74462 74878
NA NA NA 66262 NA NA NA 66274 NA 66326 NA
NA NA NA 26055 NA NA NA 26052 NA 26070 NA
