"1" "2" "3" "4" "5" "6" "7" "8" "9" "10" "11"
25575 25569 25595 25569 25569 25575 25575 25581 25572 25584 25572
107027 107087 107114 107112 107160 107069 107199 107139 107027 107120 107099
21265 21245 21245 21245 21245 21245 21245 21271 21302 21256 21245
75054 74873 74849 74920 74673 74614 74759 74638 74791 74614 74659
69399 69298 69297 69372 69366 69447 69293 69106 69594 69284 69182
767 780 781 775 786 784 778 778 792 781 769
NA 45607 NA 45607 45607 45607 45607 45607 45607 45607 45607
NA 33599 NA 33629 33626 33618 33657 33629 33541 33616 33615
NA 1821 NA NA NA 1815 1816 1818 1823 1812 1811
NA NA NA NA NA 16876 NA 16876 16876 16876 16876
NA NA NA NA NA 86492 NA NA NA 86743 86510
