"1" "2" "3" "4" "5" "6" "7" "8" "9" "10" "11"
21220 21234 21366 21220 21225 21380 21366 21220 21220 21225 21277
13620 13620 13620 13621 13620 13620 13620 13620 13620 13620 13620
63147 63361 63265 63282 62918 62871 63023 62912 63223 62918 63134
55539 55546 55539 55539 55551 55539 55539 55549 55546 55551 55539
110108 109930 110101 109993 109604 109619 109519 109720 109777 109570 109414
14971 14971 14971 14971 14971 14971 14971 14971 14971 14971 14971
69329 NA NA 69349 69304 69384 69363 69304 69330 69299 69310
903 NA NA 903 903 903 903 903 903 903 903
NA NA NA NA 1339 1342 1340 1340 1337 1339 1342
NA NA NA NA 51029 NA NA 51102 51253 51015 51162
NA NA NA NA NA NA NA 44263 NA 44260 44267
