"1" "2" "3" "4" "5" "6" "7" "8" "9" "10"
31186 31105 31311 31236 31159 31149 NA 31280 31162 31164
17076 17005 17095 17037 17023 17007 NA 17037 17051 17066
15711 15711 15700 15700 15700 15700 15700 15700 15700 15700
63227 63408 63265 63228 63268 63315 63448 63365 63111 63162
192308 191957 192558 192211 192149 192458 NA 192424 192109 192116
68938 69017 69147 68931 68879 69170 69234 69197 69126 68858
21245 NA NA 21245 21245 21245 21245 21245 21245 21245
107966 NA NA 108104 107909 108284 NA 108175 108257 107980
NA NA NA NA 90105 90323 90331 90030 90112 89925
NA NA NA NA 83661 83885 NA 83904 83641 83395
NA NA NA NA 815 815 NA 815 815 815
NA NA NA NA 86507 86464 NA 86598 NA 86457
NA NA NA NA 18880 18880 NA 18880 NA 18880
NA NA NA NA 147790 148037 NA 147899 NA 147830
