"1" "2" "3" "4" "5" "6" "7" "8" "9" "10" "11" "12"
25569 25569 25594 25575 NA 25573 NA NA NA NA 25572 25572
21809 21881 21882 21810 21884 21854 NA NA NA 21887 21805 21894
82909 83120 83121 82883 NA 83069 83243 83203 82956 NA 82955 82987
87221 87132 87110 87215 87326 87301 87380 87258 87320 87382 87307 87198
74385 74671 74784 74559 74693 74609 NA 74654 74614 74791 74677 74670
63166 63408 63265 63228 63268 63119 63295 NA NA 63394 63298 63157
74106 NA NA 74275 74645 74299 74642 NA NA 74554 74521 74117
83626 NA NA 83807 NA 83812 NA NA NA NA 83858 83568
12747 NA NA NA NA 12747 12747 12747 12747 12747 12747 12747
1075 NA NA NA NA 1089 NA 1081 1082 NA 1083 1082
16876 NA NA NA NA 16876 NA NA NA 16876 16876 16876
155162 NA NA NA NA 155138 NA NA NA NA NA 155016
815 NA NA NA NA 815 NA NA NA NA NA 815
44260 NA NA NA NA 44260 NA NA NA NA NA 44260
