"1" "2" "3" "4" "5" "6" "7" "8" "9" "10"
25798 25748 25743 25745 25743 25748 NA 25791 25789 25745
66623 66615 66613 66454 66588 66554 NA 66584 66607 66495
10933 10916 10916 10916 10916 10933 10916 10916 10940 10916
486 485 486 482 481 485 NA 486 483 482
67779 67393 67245 67149 67582 67247 67316 67405 NA 67151
NA 36468 36421 36469 36419 36456 NA 36445 36484 36469
NA 28940 28940 28940 28940 28940 NA 28940 28940 28940
NA NA 820 820 820 820 820 820 820 820
NA NA 89950 89876 90137 89766 NA NA NA 89873
NA NA NA 55962 NA 56116 56150 NA NA 55962
NA NA NA 25745 NA 25748 NA 25791 NA 25745
NA NA NA 66495 NA 66602 66657 66541 NA 66454
NA NA NA 820 NA 820 NA 820 820 820
NA NA NA 89899 NA 89819 NA NA NA 89899
NA NA NA 482 NA 485 NA NA NA 482
