"1" "2" "3" "4" "5" "6" "7" "8" "9" "10" "11"
134662 134613 135741 135226 135154 134680 135109 135469 135029 134745 135059
19761 19750 19791 19818 19739 19743 19756 19763 19768 19767 19773
848 848 848 848 848 848 848 848 848 848 848
903 903 903 903 903 903 903 903 903 903 903
14971 14971 14971 14971 14971 14971 14971 14971 14971 14971 14971
865 865 865 865 865 865 865 865 865 865 865
NA 42304 NA 42354 42223 42226 42212 42294 42221 42109 42224
NA 24309 NA 24437 24456 24354 24216 24319 24372 24273 24322
NA 66583 NA NA NA 66516 66530 66573 66574 66551 66627
NA NA NA NA NA 94190 NA 94514 94353 94227 94516
NA NA NA NA NA 160321 NA NA NA 160267 160249
