"1" "2" "3" "4" "5" "6" "7" "8" "9" "10"
830 830 830 830 830 830 830 830 830 830
87406 87274 87173 87456 87344 87482 NA 87408 87357 87397
83658 83936 83880 84036 84036 84221 84130 83693 83869 83593
108192 107969 108143 108165 108193 108283 108493 108210 108194 108325
1377 1378 1378 1378 1378 1378 1378 1374 1378 1377
135005 135451 138409 135720 135300 135442 135804 134940 134861 134892
865 NA NA 865 865 865 865 865 865 865
30671 NA NA 30681 30671 30686 NA 30682 30681 30671
487 NA NA NA NA 481 494 486 485 485
65777 NA NA NA NA 66209 NA 65814 65719 65710
24145 NA NA NA NA NA NA 24147 24145 24145
1145 NA NA NA NA NA NA 1145 1145 1145
1034 NA NA NA NA NA NA NA 1034 1034
42164 NA NA NA NA NA NA NA 42253 42203
