"1" "2" "3" "4" "5" "6" "7" "8" "9" "10"
44263 44267 44266 44263 44237 NA 44273 44260 44351 44260
14138 14138 14138 14138 14138 14138 14138 14138 14138 14138
24380 24338 24405 24210 24404 24467 24305 24252 24358 24261
1650 1638 1629 1619 1636 1650 1631 1614 1633 1618
160746 160276 160526 160203 160473 160499 160223 160612 160757 160466
197298 196964 197326 197007 197010 NA 196798 197114 196934 197114
NA 135132 NA 135202 136920 NA 135559 135187 135115 134851
NA 66530 NA 66371 66454 NA 66462 66223 66429 66223
NA NA NA 8407 NA 8407 8407 8407 8407 8407
NA NA NA 67352 NA NA 67384 67288 67513 67288
NA NA NA 44263 NA NA 44260 44260 44351 44260
NA NA NA 14138 NA NA 14138 14138 NA 14138
NA NA NA 66288 NA NA 66475 66250 NA 66356
NA NA NA 8407 NA NA 8407 8407 NA 8407
