"1" "2" "3" "4" "5" "6" "7" "8" "9" "10" "11"
13620 13620 13620 13621 13620 13620 13620 13620 13620 13620 13620
148200 148011 148138 147930 148121 147695 147760 147572 147982 147855 147618
815 815 815 815 815 815 815 815 815 815 815
26612 26682 26675 26653 26612 26636 26596 26593 26606 26612 26628
11642 11642 11651 11669 11696 11645 11642 11642 11669 11642 11669
820 820 820 820 820 820 820 820 820 820 820
941 NA NA 944 929 942 945 946 942 940 938
30656 NA NA 30671 30671 30676 30671 30656 30659 30656 30685
16876 NA NA NA NA 16876 16876 16876 16876 16876 16876
548 NA NA NA NA NA NA 548 548 548 548
NA NA NA NA NA NA NA 25569 NA 25575 25574
