"1" "2" "3" "4" "5" "6" "7" "8" "9" "10" "11"
160540 160528 160571 160327 160164 NA NA 160625 160810 160228 160540
1621 1644 1642 1644 1621 1628 1627 1631 1644 1623 1625
1374 1378 1378 1377 1378 1377 1378 1377 1377 1367 1374
43448 43448 43448 43448 43448 43448 43448 43448 43448 43448 43448
19745 19797 19771 19742 19758 NA NA 19732 19778 19825 19729
134770 135511 135384 135768 135004 135986 136090 135412 135622 135828 135447
58622 NA NA 58578 58634 NA NA 58622 58638 58578 58622
14138 NA NA 14138 14138 NA NA 14138 14138 14138 14138
74836 NA NA NA NA 75044 74914 74689 NA 74756 74836
1081 NA NA NA NA NA NA 1082 1074 1074 1081
22826 NA NA NA NA NA NA 22825 NA 22841 22822
47812 NA NA NA NA NA NA NA NA 47948 47812
89886 NA NA NA NA NA NA NA NA 90179 90049
20387 NA NA NA NA NA NA NA NA 20336 20428
