"1" "2" "3" "4" "5" "6" "7" "8" "9" "10" "11"
64556 64920 64981 64775 64876 65080 64976 64950 65123 64936 64779
1619 1634 1626 1629 1625 1646 1634 1629 1647 1630 1624
117606 117613 117626 117606 117606 117606 117606 117606 117607 117606 117595
29936 29941 29976 29912 29941 30011 30022 29905 29971 29905 29974
1339 1340 1339 1340 1341 1340 1339 1339 1339 1339 1339
27625 NA NA 27601 27635 27672 27681 27590 27628 27592 27595
27591 NA NA 27591 27591 27591 27591 27591 27591 27591 27591
21228 NA NA NA NA 21220 21225 21220 21220 21220 21225
21245 NA NA NA NA 21245 21245 21245 21245 21245 21245
11040 NA NA NA NA NA NA 11040 11040 11040 11091
486 NA NA NA NA NA NA 486 485 486 490
NA NA NA NA NA NA NA 993 NA 993 991
