"1" "2" "3" "4" "5" "6" "7" "8" "9" "10" "11"
60329 60410 60855 60287 60174 60084 60136 60174 60131 60308 60524
66532 66622 66666 66635 66573 66474 66499 66448 66563 66608 66564
15700 15700 15700 15700 15700 15700 15700 15700 15700 15700 15711
31105 31168 31294 31107 31103 31281 31129 31123 31103 31105 31115
1524 1524 1524 1524 1524 1524 1524 1524 1524 1524 1524
11642 11662 NA 11669 11696 11669 11644 11651 11696 NA NA
19331 NA NA 19242 19230 19331 19257 19261 19230 19333 19261
83616 NA NA 83608 83528 83409 83395 83395 83764 83760 83886
NA NA NA NA 26370 26421 26421 26383 26362 NA NA
NA NA NA NA 36450 NA 36481 36462 36431 NA NA
NA NA NA NA 55061 NA 55377 55377 55332 55642 55352
NA NA NA NA 333385 NA 333484 333424 333477 NA NA
