"1" "2" "3" "4" "5" "6" "7" "8" "9" "10" "11"
19570 19570 19570 19570 19565 19570 19629 19565 19566 NA NA
86777 86624 86738 86297 86601 86663 86435 86176 86460 NA NA
90319 90222 90090 89725 90039 90270 89988 89774 90185 90065 90198
860 860 858 858 861 861 858 857 NA 857 858
486 485 489 482 487 491 486 481 NA NA NA
135841 135748 136446 135346 136340 135375 135080 134823 134856 NA NA
NA 1524 NA 1524 1524 1524 1524 1524 1524 NA NA
NA 69487 NA 69356 69481 69534 69353 69374 NA 69400 69422
NA 334078 NA 334078 333992 333566 333817 333351 333608 333532 333590
NA 147919 NA 147907 148030 NA NA 147881 147918 NA NA
NA 19570 NA 19570 19565 NA NA 19565 NA NA NA
NA 86624 NA 86518 86814 NA NA 86257 NA 86457 86596
