"1" "2" "3" "4" "5" "6" "7" "8" "9" "10" "11"
55539 55539 55551 55546 55546 NA 55539 55539 55542 55539 55551
787 779 781 772 777 788 773 764 780 769 774
43101 42943 42969 42883 43028 43106 42860 42968 NA 42966 42974
13590 13590 13590 13590 13590 13590 13590 13590 NA 13590 13590
108361 108192 108156 108054 108323 108341 108009 108147 NA 108062 108055
860 860 858 858 861 NA 859 857 860 858 859
NA 1034 NA 1034 1034 NA 1034 1034 1034 1034 1034
NA 122037 NA 121668 121937 NA 122052 121717 NA 121762 121683
NA NA NA 24196 NA 24461 24285 24259 NA 24275 24292
NA NA NA 17134 NA NA 17038 17032 NA 17021 17101
NA NA NA 55546 NA NA NA 55539 55542 55539 55551
NA NA NA 770 NA NA NA 764 NA 769 772
NA NA NA NA NA NA NA 121717 NA 121762 121683
