"1" "2" "3" "4" "5" "6" "7" "8" "9" "10" "11"
27050 27050 27056 27042 27086 27044 27050 27042 27044 27046 27042
19723 19794 19769 19739 19758 19787 19761 19744 19781 19765 19779
25743 25790 25791 25743 25745 25743 25806 25743 25743 25743 25782
38338 38426 38406 38342 38344 38338 38336 38343 38287 38268 38309
64732 64801 64860 64927 NA 64951 64757 64801 64693 64710 64962
24145 NA NA 24145 24145 24145 24145 24145 24145 24145 24145
10936 NA NA 10933 NA 10916 10933 10916 10916 10916 10933
75891 NA NA NA NA 76144 75943 75880 75750 75833 75902
1015 NA NA NA NA 1015 1015 1015 1015 1015 1015
21265 NA NA NA NA NA NA 21245 21245 21245 21245
13590 NA NA NA NA NA NA 13590 13590 13590 13590
NA NA NA NA NA NA NA NA 42984 42876 42841
NA NA NA NA NA NA NA NA 990 991 NA
