".ID.","nbIterTraces","nbGranular","mu","lambda","nbElite","nbClose","nbIterPenaltyManagement","targetFeasible","penaltyIncrease","penaltyDecrease",".PARENT."
1,"500","25","25","60","5","8","100","0.4","1.4","0.75",NA
2,"700","20","30","40","7","4","50","0.2","1.2","0.65",NA
3,"700","20","20","60","5","2","150","0.3","1.3","0.65",NA
4,"500","20","20","20","5","4","50","0.3","1.2","0.65",2
5,"700","20","30","40","3","4","150","0.2","1.3","0.85",2
6,"500","25","30","40","3","8","50","0.2","1.2","0.65",4
7,"500","15","20","40","5","4","50","0.3","1.2","0.65",4
8,"700","20","20","20","5","2","50","0.3","1.2","0.65",4
9,"500","25","20","60","5","4","50","0.3","1.4","0.75",4
10,"700","20","20","20","5","4","50","0.3","1.2","0.65",4
