"1" "2" "3" "4" "5" "6" "7" "8" "9" "10" "11"
66518 66618 66771 66380 66113 66464 66345 66347 66209 66513 66301
116704 116974 116734 116948 116340 117497 117257 116279 117456 116930 115866
333482 333917 333880 333742 333384 333333 333646 332964 333641 333760 333090
63190 63408 63322 63430 62986 63255 63271 63249 63261 63099 63292
31105 31168 31315 NA 31123 31168 31122 31124 31263 31111 31210
10166 NA NA 10125 10105 10176 10125 10087 10179 10125 10179
19570 NA NA NA 19699 19565 19699 19565 19565 19570 19565
NA NA NA NA 83679 83597 83393 83366 83608 83675 83376
NA NA NA NA 56178 56537 56207 56120 56076 56059 56047
NA NA NA NA 848 NA NA 848 848 848 848
NA NA NA NA 37283 NA NA 37277 37459 37278 37483
NA NA NA NA NA NA NA 12747 NA 12747 12747
NA NA NA NA NA NA NA 95857 NA 95974 NA
