"1" "2" "3" "4" "5" "6" "7" "8" "9"
196895 196925 196609 197019 196816 197158 196895 196923 197204
26612 26682 26673 26656 26612 26611 26612 26627 NA
686 687 688 686 687 687 686 686 686
616 617 621 619 616 624 616 618 623
55539 55546 55539 55539 55551 55546 55539 55539 NA
5624 5634 5628 5633 5624 5627 5624 5624 NA
34308 NA 34273 34274 34316 34273 34308 34308 NA
40517 NA NA 40437 40540 40540 40499 40540 40521
42821 NA NA 42862 42933 42870 42816 42812 42828
27565 NA NA 27616 NA 27697 27565 27589 NA
155108 NA NA 155124 NA 155187 155086 155239 NA
47812 NA NA 47812 NA NA 47812 47812 47854
815 NA NA 815 NA NA 815 815 815
108022 NA NA 108217 NA NA 108022 108039 NA
95777 NA NA 95995 NA NA 95762 95952 NA
