"1" "2" "3" "4" "5" "6" "7" "8" "9" "10" "11"
24145 24145 24145 24145 24147 24147 24145 24145 24145 24145 24145
107146 107099 107150 107094 107185 107055 107009 107041 107132 107095 107080
6460 6460 6460 6460 6460 6460 6460 6460 6460 6460 6460
27044 27056 27044 27086 27051 27050 27086 27042 27054 27042 27042
43448 43448 43448 43448 43448 43448 43448 43448 43448 43448 43448
33618 33657 33629 33628 33631 33592 33606 33608 33628 33622 33658
69735 NA NA 69218 69593 69514 68962 68904 68974 68756 68909
27760 NA NA 27597 27735 27725 27709 27732 27627 27667 27625
NA NA NA 75899 NA 76102 76095 75764 75874 75812 75977
NA NA NA NA NA NA 1015 1015 1015 1015 1015
NA NA NA NA NA NA NA 24145 NA 24145 24145
