"1" "2" "3" "4" "5" "6" "7" "8" "9" "10"
67080 67425 67288 67435 67058 67012 67072 67022 67097 67032
25861 25943 25976 25921 25897 25950 25911 25904 25912 25870
12747 12747 12747 12747 12747 12747 12747 12747 12747 12747
44260 44263 44225 44263 44260 44356 44260 44260 44260 44256
78394 78442 78428 NA 78384 78418 78386 78369 78407 78363
1524 1524 1524 1524 1524 1524 1524 1524 1524 1524
137978 NA NA 138112 137590 137224 137412 137492 137520 137229
82956 NA NA NA 82963 83029 82863 82983 82916 83059
NA NA NA NA 148164 147906 148164 148271 148110 148013
NA NA NA NA 10906 10871 10874 10887 10872 10883
NA NA NA NA 121759 NA NA 121759 121633 121493
NA NA NA NA 830 NA NA 830 830 830
NA NA NA NA NA NA NA 56006 56091 56190
NA NA NA NA NA NA NA 94373 94228 94274
