"1" "2" "3" "4" "5" "6" "7" "8" "9" "10" "11"
55539 55546 55539 55539 55551 55546 55539 55546 55546 55539 55539
6460 6460 6460 6460 6460 6460 6460 6460 6460 6460 6460
14971 14971 14971 14971 14971 14971 14971 14971 14971 14971 14971
11040 11040 11040 11040 11040 11040 11040 11040 11040 11040 11040
865 865 865 865 865 865 865 865 865 865 865
42821 43047 42901 42860 42933 42852 42941 42788 42875 42974 42815
51937 NA NA 52052 51912 51993 51915 51975 51983 51889 51921
830 NA NA 830 830 830 830 830 830 830 830
155093 NA NA NA NA 155101 155235 155436 155171 154963 155081
10864 NA NA NA NA NA NA 10899 10873 10875 10861
861 NA NA NA NA NA NA NA NA 860 861
