"1" "2" "3" "4" "5" "6" "7" "8" "9" "10" "11"
22885 22902 22853 22834 22853 22895 22837 22829 22992 22838 22853
13590 13590 13590 13590 13590 13590 13590 13590 13590 13590 13590
52350 52224 52065 52116 52177 52329 52100 52072 52163 52281 52036
333859 333545 333809 333666 333856 333737 334421 333756 333351 334005 333628
14138 14138 14138 14138 14138 14138 14138 14138 14138 14138 14138
116474 116788 116708 116792 116893 117219 117179 116725 116641 116480 117312
NA NA 26201 26055 26148 26293 26151 26057 26008 26022 26038
NA NA 86712 86733 86748 86640 86568 86676 86582 86696 86715
NA NA NA 11669 NA 11669 11655 11752 11669 11658 11836
NA NA NA 5624 NA NA NA 5626 5624 5632 5627
NA NA NA NA NA NA NA NA 23078 22897 22850
