"1" "2" "3" "4" "5" "6" "7" "8" "9" "10" "11"
29936 29941 29984 29912 29941 29987 29980 29895 29902 29994 29899
67739 67973 67649 67424 67497 67568 67635 67712 67542 67382 67458
688 687 688 688 688 686 686 686 686 686 687
65710 65754 65930 65600 66022 65964 66121 66015 65742 65822 65702
11040 11091 11040 11040 11040 11040 11040 11040 11040 11040 11040
56182 56453 56353 56397 56064 56313 56595 56663 56313 56352 56297
25745 NA NA 25743 25743 25743 25745 25743 25745 25743 25806
31214 NA NA 31250 31198 31134 31105 31222 31298 31266 31262
NA NA NA 948 NA 967 972 956 953 945 956
NA NA NA 42845 NA NA NA 42916 42813 42848 42855
NA NA NA 1524 NA NA NA NA NA 1524 1524
