"1" "2" "3" "4" "5" "6" "7" "8" "9" "10"
96127 96192 96249 95748 96185 96169 96156 95778 NA NA
33647 33657 33670 33634 33661 33575 33606 33628 NA NA
117606 117625 117617 117606 117648 117636 117606 117606 117606 117606
107119 107192 107159 107018 107183 107055 107009 107032 107128 107174
117135 116788 117490 116079 116837 117529 116237 115925 NA NA
94571 94352 94375 94255 94859 94988 94566 94255 NA NA
25569 NA NA 25591 25576 25573 25569 25591 NA NA
1338 NA NA 1339 NA 1340 1339 1338 1341 1343
17018 NA NA 17003 NA 17057 17048 16996 17048 17026
1092 NA NA 1085 NA 1093 1076 1085 NA NA
96168 NA NA 95851 NA NA 96147 95880 NA NA
33579 NA NA 33634 NA NA 33606 33628 NA NA
1338 NA NA 1339 NA 1341 1339 1339 1341 1343
17018 NA NA 16996 NA NA 17048 16996 NA NA
