"1" "2" "3" "4" "5" "6" "7" "8" "9" "10" "11"
89616 89655 89700 89584 89414 89510 89343 89435 89404 89272 89261
24315 24241 24329 24206 24274 24294 24368 24274 24236 24305 24425
94418 94936 94874 94699 94364 94416 94248 94435 94393 94291 94423
27590 27724 27619 27619 27690 27689 27694 27690 27661 27670 27719
8460 8460 8460 8460 8452 8472 8460 8459 8460 8472 8460
27050 27050 27058 27042 27086 27042 27042 27132 27042 27042 27042
865 NA NA 865 865 865 865 865 865 865 865
1015 NA NA 1015 1015 1015 1015 1015 1015 1015 1015
NA NA NA NA 43448 43448 43448 43448 43448 43448 43448
NA NA NA NA 21831 NA NA 21792 21904 21844 21878
NA NA NA NA NA NA NA NA 42309 42166 42213
