"1" "2" "3" "4" "5" "6" "7" "8" "9" "10" "11"
26381 26364 26413 26362 26370 26381 26408 26381 26386 26381 26385
42835 43072 42901 42860 42933 42852 42941 42788 42862 42796 42817
16999 17028 17049 17003 17023 17041 16995 16989 17005 16997 16993
25861 25943 25987 25921 25897 25930 25929 25888 25883 25861 25933
40517 40463 40476 40437 40540 40471 40476 40533 40490 40499 40497
1338 1352 1341 1345 1336 1336 1334 1336 1336 1336 1337
5624 NA NA 5633 5624 5630 5629 5630 5624 5624 5624
66376 NA NA 66364 66111 66493 66268 66313 66236 66273 66362
13620 NA NA NA NA 13620 13620 13620 13620 13620 13620
108022 NA NA NA NA NA NA 107986 108128 108022 107981
NA NA NA NA NA NA NA 815 NA 815 815
