"1" "2" "3" "4" "5" "6" "7" "8" "9" "10"
8460 8460 8460 8460 8452 8460 8460 8460 8460 NA
75407 75069 75282 74841 74623 74877 75368 74899 75226 NA
1620 1631 1627 1637 1620 1620 1622 1618 1629 NA
89747 90130 90137 90063 89817 90059 89905 90109 90137 NA
34308 34297 34273 34273 34316 34242 34308 34316 34259 34276
820 820 820 820 820 820 820 820 820 820
11642 NA NA 11669 11696 11642 11642 11669 11669 NA
1034 NA NA 1034 1034 1034 1034 1034 1034 NA
941 NA NA 941 929 942 945 941 NA NA
1015 NA NA 1015 1015 1015 NA 1015 1015 1015
67048 NA NA 67435 67050 66937 NA 67290 NA 66937
11040 NA NA 11040 11040 11040 NA 11040 NA 11040
5624 NA NA 5633 5624 5630 NA 5627 NA NA
