"1" "2" "3" "4" "5" "6" "7" "8" "9"
42164 42304 42258 42147 42192 42260 42141 42147 NA
16876 16876 16876 16876 16876 16876 16876 16876 NA
24296 24309 24322 24237 24337 24313 24308 24237 NA
64556 64920 64981 64672 64838 64851 64901 64651 65108
51234 51136 51408 51310 51307 51018 51281 51310 51321
89993 90302 90105 89817 90049 89895 90126 89826 89974
117606 NA NA 117606 117606 117606 117606 117606 NA
27625 NA NA 27601 27629 27663 27607 27601 NA
1034 NA NA 1034 NA 1034 1034 1034 NA
865 NA NA 865 NA 865 865 865 NA
26612 NA NA 26658 NA 26695 26652 26658 26715
11642 NA NA 11669 NA NA 11671 11669 NA
10179 NA NA 10158 NA NA 10179 10179 NA
192308 NA NA 192211 NA NA 192711 192211 192346
95858 NA NA 95770 NA NA 95969 95770 NA
121867 NA NA 121309 NA NA 121783 121309 NA
