conjunto,media
K7E6C15J3,"{'X-n749-k98.vrp': '80434\n', 'CMT6.vrp': '548\n', 'Golden_14.vrp': '1126\n', 'X-n157-k13.vrp': '16951\n', 'X-n261-k13.vrp': '27975\n', 'CMT3.vrp': '825\n', 'Golden_19.vrp': '1419\n', 'X-n209-k16.vrp': '31767\n', 'Golden_8.vrp': '11986\n', 'X-n670-k130.vrp': '', 'X-n181-k23.vrp': '25815\n', 'Golden_4.vrp': '14070\n', 'Golden_12.vrp': '1008\n', 'X-n219-k73.vrp': '117866\n', 'CMT12.vrp': '821\n'}"
K3E1C15J3,"{'X-n143-k7.vrp': '16260\n', 'X-n214-k11.vrp': '11354\n', 'X-n186-k15.vrp': '24968\n', 'X-n524-k153.vrp': '', 'Golden_3.vrp': '11297\n', 'X-n110-k13.vrp': '15166\n', 'X-n139-k10.vrp': '13844\n', 'CMT2.vrp': '839\n', 'CMT14.vrp': '865\n', 'Golden_5.vrp': '6606\n', 'Golden_13.vrp': '886\n', 'X-n125-k30.vrp': '56731\n', 'X-n359-k29.vrp': '53902\n', 'Golden_9.vrp': '522\n', 'X-n561-k42.vrp': '44938\n'}"
K7E7C10J3,"{'X-n420-k130.vrp': '110160\n', 'CMT11.vrp': '1039\n', 'X-n190-k8.vrp': '17409\n', 'X-n139-k10.vrp': '13769\n', 'X-n561-k42.vrp': '44457\n', 'Golden_11.vrp': '828\n', 'X-n979-k58.vrp': '123909\n', 'Golden_13.vrp': '889\n', 'X-n459-k26.vrp': '25125\n', 'X-n125-k30.vrp': '56354\n'}"
K5E4C15J3,"{'X-n502-k39.vrp': '69949\n', 'X-n331-k15.vrp': '32350\n', 'X-n376-k94.vrp': '148736\n', 'X-n670-k130.vrp': '', 'Golden_20.vrp': '1888\n', 'X-n275-k28.vrp': '21722\n', 'X-n219-k73.vrp': '117866\n', 'X-n936-k151.vrp': '', 'X-n106-k14.vrp': '26635\n', 'X-n251-k28.vrp': '39606\n', 'X-n733-k159.vrp': '141197\n', 'Golden_17.vrp': '722\n', 'X-n298-k31.vrp': '36042\n', 'X-n685-k75.vrp': '71093\n', 'X-n459-k26.vrp': '25091\n'}"
K3E1C10J3,"{'Golden_14.vrp': '1132\n', 'X-n237-k14.vrp': '27897\n', 'X-n115-k10.vrp': '12747\n', 'X-n401-k29.vrp': '68200\n', 'X-n327-k20.vrp': '28798\n', 'X-n429-k61.vrp': '67588\n', 'X-n856-k95.vrp': '91043\n', 'Golden_5.vrp': '6472\n', 'X-n143-k7.vrp': '16161\n', 'X-n125-k30.vrp': '56731\n'}"
K7E6C10J3,"{'X-n294-k50.vrp': '48861\n', 'X-n819-k171.vrp': '162559\n', 'X-n524-k153.vrp': '', 'X-n393-k38.vrp': '39810\n', 'X-n936-k151.vrp': '139358\n', 'X-n1001-k43.vrp': '77023\n', 'X-n162-k11.vrp': '14402\n', 'X-n157-k13.vrp': '16948\n', 'X-n219-k73.vrp': '117992\n', 'X-n270-k35.vrp': '36086\n'}"
K5E2C10J3,"{'X-n480-k70.vrp': '92103\n', 'Golden_6.vrp': '8621\n', 'CMT9.vrp': '1177\n', 'X-n599-k92.vrp': '111976\n', 'Golden_7.vrp': '10310\n', 'CMT10.vrp': '1433\n', 'X-n502-k39.vrp': '69949\n', 'X-n469-k138.vrp': '225742\n', 'X-n242-k48.vrp': '84855\n', 'X-n573-k30.vrp': '52077\n'}"
K3E3C15J3,"{'X-n895-k37.vrp': '57192\n', 'X-n153-k22.vrp': '21636\n', 'X-n106-k14.vrp': '26635\n', 'X-n280-k17.vrp': '34394\n', 'X-n120-k6.vrp': '13595\n', 'X-n401-k29.vrp': '68300\n', 'CMT9.vrp': '1179\n', 'X-n223-k34.vrp': '41437\n', 'X-n200-k36.vrp': '59921\n', 'X-n957-k87.vrp': '87227\n', 'X-n237-k14.vrp': '27697\n', 'X-n1001-k43.vrp': '76615\n', 'X-n129-k18.vrp': '29862\n', 'Golden_18.vrp': '1045\n', 'X-n548-k50.vrp': '88071\n'}"
K5E4C10J3,"{'X-n167-k10.vrp': '21335\n', 'X-n561-k42.vrp': '44625\n', 'X-n876-k59.vrp': '103074\n', 'X-n613-k62.vrp': '62498\n', 'CMT13.vrp': '1562\n', 'X-n801-k40.vrp': '76194\n', 'X-n384-k52.vrp': '67855\n', 'Golden_16.vrp': '1705\n', 'X-n351-k40.vrp': '26972\n', 'X-n856-k95.vrp': '91017\n'}"
K3E3C10J3,"{'X-n491-k59.vrp': '69574\n', 'CMT2.vrp': '843\n', 'X-n367-k17.vrp': '23504\n', 'X-n916-k207.vrp': '336103\n', 'Golden_11.vrp': '829\n', 'X-n420-k130.vrp': '110261\n', 'X-n167-k10.vrp': '21357\n', 'X-n716-k35.vrp': '45817\n', 'CMT10.vrp': '1428\n', 'X-n308-k13.vrp': '26833\n'}"
K7E2C18J3,"{'X-n351-k40.vrp': '26892\n', 'X-n143-k7.vrp': '16161\n', 'X-n125-k30.vrp': '56731\n', 'CMT10.vrp': '1433\n', 'X-n685-k75.vrp': '71093\n', 'X-n331-k15.vrp': '31979\n', 'X-n716-k35.vrp': '45609\n', 'X-n641-k35.vrp': '66571\n', 'X-n429-k61.vrp': '67588\n', 'X-n599-k92.vrp': '111976\n', 'X-n895-k37.vrp': '56868\n', 'X-n233-k16.vrp': '19693\n', 'Golden_1.vrp': '5820\n', 'X-n162-k11.vrp': '14269\n', 'X-n176-k26.vrp': '48716\n', 'X-n876-k59.vrp': '103070\n', 'X-n228-k23.vrp': '26363\n', 'CMT11.vrp': '1041\n'}"
K7E1C15J3,"{'Golden_9.vrp': '522\n', 'X-n599-k92.vrp': '111976\n', 'X-n280-k17.vrp': '34394\n', 'X-n176-k26.vrp': '49042\n', 'X-n837-k142.vrp': '198701\n', 'X-n524-k153.vrp': '', 'X-n459-k26.vrp': '25091\n', 'X-n876-k59.vrp': '102739\n', 'Golden_10.vrp': '667\n', 'Golden_5.vrp': '6606\n', 'X-n480-k70.vrp': '92103\n', 'X-n359-k29.vrp': '53617\n', 'X-n256-k16.vrp': '19245\n', 'X-n270-k35.vrp': '36288\n', 'X-n129-k18.vrp': '30004\n'}"
K3E2C10J3,"{'X-n627-k43.vrp': '64759\n', 'CMT8.vrp': '859\n', 'X-n219-k73.vrp': '117992\n', 'X-n783-k48.vrp': '76281\n', 'Golden_2.vrp': '8604\n', 'CMT3.vrp': '823\n', 'X-n176-k26.vrp': '49306\n', 'X-n670-k130.vrp': '', 'CMT14.vrp': '865\n', 'X-n172-k51.vrp': '46377\n'}"
K5E5C10J3,"{'X-n247-k50.vrp': '', 'CMT4.vrp': '1039\n', 'X-n916-k207.vrp': '336053\n', 'X-n459-k26.vrp': '25336\n', 'CMT12.vrp': '824\n', 'Golden_8.vrp': '12079\n', 'X-n266-k58.vrp': '77260\n', 'X-n275-k28.vrp': '21669\n', 'X-n233-k16.vrp': '19828\n', 'X-n228-k23.vrp': '26362\n'}"
K5E2C18J3,"{'X-n308-k13.vrp': '26498\n', 'Golden_9.vrp': '514\n', 'X-n916-k207.vrp': '336173\n', 'X-n209-k16.vrp': '31508\n', 'X-n548-k50.vrp': '88329\n', 'CMT14.vrp': '867\n', 'X-n429-k61.vrp': '67377\n', 'CMT11.vrp': '1050\n', 'CMT10.vrp': '1417\n', 'CMT9.vrp': '1166\n', 'X-n344-k43.vrp': '43333\n', 'X-n701-k44.vrp': '85353\n', 'X-n303-k21.vrp': '22348\n', 'Golden_18.vrp': '1025\n', 'X-n420-k130.vrp': '110030\n', 'CMT2.vrp': '842\n', 'X-n936-k151.vrp': '', 'X-n186-k15.vrp': '24739\n'}"
