conjunto,media
K7E7C10J2,"{'Golden_9.vrp': '521\n', 'CMT13.vrp': '1561\n', 'X-n376-k94.vrp': '148696\n', 'Golden_13.vrp': '886\n', 'X-n480-k70.vrp': '92103\n', 'X-n957-k87.vrp': '87594\n', 'X-n502-k39.vrp': '69949\n', 'X-n936-k151.vrp': '', 'X-n916-k207.vrp': '336103\n', 'X-n204-k19.vrp': '19991\n'}"
K5E5C15J2,"{'X-n195-k51.vrp': '45104\n', 'CMT4.vrp': '1030\n', 'Golden_1.vrp': '5812\n', 'Golden_12.vrp': '1008\n', 'X-n480-k70.vrp': '92103\n', 'Golden_16.vrp': '1705\n', 'X-n449-k29.vrp': '58117\n', 'CMT11.vrp': '1040\n', 'X-n298-k31.vrp': '35931\n', 'X-n1001-k43.vrp': '76914\n', 'X-n491-k59.vrp': '69574\n', 'Golden_2.vrp': '8666\n', 'Golden_8.vrp': '11969\n', 'Golden_3.vrp': '11288\n', 'CMT12.vrp': '822\n'}"
K7E3C10J2,"{'X-n308-k13.vrp': '26832\n', 'X-n261-k13.vrp': '27975\n', 'X-n110-k13.vrp': '15166\n', 'X-n120-k6.vrp': '13669\n', 'CMT1.vrp': '521\n', 'X-n270-k35.vrp': '36277\n', 'X-n115-k10.vrp': '12747\n', 'Golden_17.vrp': '712\n', 'X-n275-k28.vrp': '21692\n', 'X-n449-k29.vrp': '58043\n'}"
K5E4C15J2,"{'X-n613-k62.vrp': '62062\n', 'X-n469-k138.vrp': '225742\n', 'X-n294-k50.vrp': '48747\n', 'X-n256-k16.vrp': '19171\n', 'X-n766-k71.vrp': '118439\n', 'X-n749-k98.vrp': '80821\n', 'X-n641-k35.vrp': '66438\n', 'X-n125-k30.vrp': '56511\n', 'X-n139-k10.vrp': '13648\n', 'X-n176-k26.vrp': '48716\n', 'X-n716-k35.vrp': '45773\n', 'X-n157-k13.vrp': '16945\n', 'Golden_15.vrp': '1411\n', 'X-n876-k59.vrp': '102695\n', 'X-n670-k130.vrp': ''}"
K7E3C15J2,"{'X-n979-k58.vrp': '125227\n', 'X-n303-k21.vrp': '22471\n', 'X-n214-k11.vrp': '11255\n', 'X-n148-k46.vrp': '44309\n', 'X-n327-k20.vrp': '28569\n', 'X-n313-k71.vrp': '96532\n', 'CMT8.vrp': '856\n', 'CMT4.vrp': '1030\n', 'Golden_2.vrp': '8583\n', 'X-n513-k21.vrp': '25266\n', 'X-n344-k43.vrp': '43740\n', 'X-n856-k95.vrp': '90689\n', 'CMT14.vrp': '865\n', 'X-n480-k70.vrp': '91849\n', 'X-n237-k14.vrp': '27867\n'}"
K3E2C15J2,"{'X-n449-k29.vrp': '58490\n', 'Golden_14.vrp': '1135\n', 'X-n480-k70.vrp': '92103\n', 'X-n801-k40.vrp': '76495\n', 'X-n148-k46.vrp': '44309\n', 'CMT10.vrp': '1433\n', 'X-n284-k15.vrp': '21316\n', 'X-n162-k11.vrp': '14286\n', 'X-n411-k19.vrp': '20860\n', 'Golden_16.vrp': '1699\n', 'X-n367-k17.vrp': '23504\n', 'X-n819-k171.vrp': '162576\n', 'X-n200-k36.vrp': '60167\n', 'X-n176-k26.vrp': '49042\n', 'X-n936-k151.vrp': ''}"
K5E4C18J2,"{'X-n429-k61.vrp': '67588\n', 'CMT5.vrp': '1333\n', 'Golden_1.vrp': '5814\n', 'X-n157-k13.vrp': '16951\n', 'X-n819-k171.vrp': '162413\n', 'Golden_11.vrp': '815\n', 'X-n270-k35.vrp': '36249\n', 'X-n586-k159.vrp': '194302\n', 'X-n125-k30.vrp': '56731\n', 'X-n599-k92.vrp': '111976\n', 'X-n359-k29.vrp': '53568\n', 'X-n384-k52.vrp': '68012\n', 'X-n573-k30.vrp': '52077\n', 'X-n979-k58.vrp': '125250\n', 'X-n480-k70.vrp': '91596\n', 'X-n139-k10.vrp': '13797\n', 'Golden_4.vrp': '14109\n', 'Golden_19.vrp': '1399\n'}"
K7E2C10J2,"{'X-n148-k46.vrp': '44309\n', 'X-n685-k75.vrp': '71093\n', 'CMT4.vrp': '1030\n', 'X-n237-k14.vrp': '27867\n', 'Golden_5.vrp': '6528\n', 'X-n655-k131.vrp': '107553\n', 'X-n327-k20.vrp': '28874\n', 'X-n280-k17.vrp': '34394\n', 'X-n266-k58.vrp': '77371\n', 'X-n186-k15.vrp': '24897\n'}"
K5E1C10J2,"{'Golden_3.vrp': '11384\n', 'X-n685-k75.vrp': '71054\n', 'Golden_9.vrp': '523\n', 'X-n916-k207.vrp': '336053\n', 'X-n251-k28.vrp': '39712\n', 'X-n502-k39.vrp': '69764\n', 'X-n101-k25.vrp': '28058\n', 'X-n275-k28.vrp': '21637\n', 'CMT9.vrp': '1172\n', 'X-n449-k29.vrp': '57566\n'}"
K7E1C18J2,"{'Golden_5.vrp': '6534\n', 'X-n573-k30.vrp': '52061\n', 'X-n895-k37.vrp': '57140\n', 'X-n524-k153.vrp': '', 'X-n209-k16.vrp': '31505\n', 'X-n801-k40.vrp': '76026\n', 'Golden_8.vrp': '12058\n', 'X-n586-k159.vrp': '194203\n', 'Golden_2.vrp': '8513\n', 'Golden_14.vrp': '1139\n', 'X-n599-k92.vrp': '111729\n', 'X-n110-k13.vrp': '15157\n', 'CMT8.vrp': '860\n', 'X-n401-k29.vrp': '67867\n', 'X-n266-k58.vrp': '77260\n', 'X-n125-k30.vrp': '56585\n', 'Golden_9.vrp': '517\n', 'X-n359-k29.vrp': '53626\n'}"
