conjunto,media
K7E4C18J1,"{'X-n289-k60.vrp': '97691\n', 'X-n979-k58.vrp': '123920\n', 'CMT2.vrp': '846\n', 'Golden_4.vrp': '14208\n', 'X-n655-k131.vrp': '107601\n', 'X-n129-k18.vrp': '29839\n', 'X-n716-k35.vrp': '45558\n', 'X-n120-k6.vrp': '13453\n', 'X-n106-k14.vrp': '26674\n', 'X-n204-k19.vrp': '20024\n', 'X-n284-k15.vrp': '21139\n', 'Golden_7.vrp': '10432\n', 'X-n449-k29.vrp': '58229\n', 'X-n223-k34.vrp': '41327\n', 'X-n139-k10.vrp': '13769\n', 'X-n172-k51.vrp': '46377\n', 'X-n895-k37.vrp': '57568\n', 'CMT10.vrp': '1421\n'}"
K5E2C10J1,"{'Golden_20.vrp': '1897\n', 'X-n331-k15.vrp': '32397\n', 'X-n167-k10.vrp': '21335\n', 'X-n106-k14.vrp': '26674\n', 'X-n336-k84.vrp': '144661\n', 'Golden_17.vrp': '719\n', 'X-n176-k26.vrp': '49306\n', 'X-n223-k34.vrp': '41627\n', 'Golden_19.vrp': '1401\n', 'X-n819-k171.vrp': '162559\n'}"
K7E3C15J1,"{'X-n957-k87.vrp': '87708\n', 'X-n289-k60.vrp': '97570\n', 'X-n143-k7.vrp': '16192\n', 'X-n261-k13.vrp': '27975\n', 'X-n936-k151.vrp': '', 'X-n733-k159.vrp': '141197\n', 'X-n172-k51.vrp': '46417\n', 'X-n214-k11.vrp': '11354\n', 'CMT3.vrp': '825\n', 'X-n420-k130.vrp': '110663\n', 'CMT14.vrp': '865\n', 'Golden_8.vrp': '11986\n', 'X-n275-k28.vrp': '21722\n', 'X-n749-k98.vrp': '80434\n', 'X-n701-k44.vrp': '85913\n'}"
K5E1C15J1,"{'X-n819-k171.vrp': '162413\n', 'X-n120-k6.vrp': '13682\n', 'Golden_1.vrp': '5814\n', 'Golden_15.vrp': '1402\n', 'X-n716-k35.vrp': '45514\n', 'X-n411-k19.vrp': '20860\n', 'X-n469-k138.vrp': '225742\n', 'CMT11.vrp': '1040\n', 'Golden_9.vrp': '522\n', 'X-n129-k18.vrp': '30004\n', 'CMT5.vrp': '1318\n', 'X-n294-k50.vrp': '48823\n', 'X-n233-k16.vrp': '19613\n', 'X-n670-k130.vrp': '', 'X-n176-k26.vrp': '49042\n'}"
K7E6C15J1,"{'Golden_18.vrp': '1047\n', 'Golden_3.vrp': '11297\n', 'X-n190-k8.vrp': '17493\n', 'X-n219-k73.vrp': '117866\n', 'CMT8.vrp': '856\n', 'X-n359-k29.vrp': '53902\n', 'X-n491-k59.vrp': '69530\n', 'Golden_1.vrp': '5820\n', 'X-n256-k16.vrp': '19245\n', 'X-n167-k10.vrp': '21394\n', 'CMT11.vrp': '1124\n', 'X-n298-k31.vrp': '36042\n', 'X-n916-k207.vrp': '336012\n', 'X-n186-k15.vrp': '24968\n', 'X-n411-k19.vrp': '20860\n'}"
K5E5C18J1,"{'Golden_12.vrp': '1006\n', 'Golden_1.vrp': '5774\n', 'X-n303-k21.vrp': '22450\n', 'Golden_15.vrp': '1400\n', 'X-n469-k138.vrp': '226066\n', 'Golden_3.vrp': '11374\n', 'X-n701-k44.vrp': '85519\n', 'X-n106-k14.vrp': '26653\n', 'X-n308-k13.vrp': '26806\n', 'X-n749-k98.vrp': '80402\n', 'X-n148-k46.vrp': '44258\n', 'Golden_16.vrp': '1694\n', 'X-n957-k87.vrp': '87671\n', 'X-n214-k11.vrp': '11260\n', 'X-n429-k61.vrp': '67232\n', 'X-n167-k10.vrp': '21253\n', 'CMT10.vrp': '1410\n', 'X-n331-k15.vrp': '32395\n'}"
K7E4C10J1,"{'Golden_1.vrp': '5801\n', 'X-n491-k59.vrp': '69286\n', 'CMT7.vrp': '916\n', 'CMT9.vrp': '1172\n', 'X-n393-k38.vrp': '39810\n', 'X-n303-k21.vrp': '22505\n', 'X-n469-k138.vrp': '226106\n', 'X-n237-k14.vrp': '27866\n', 'CMT11.vrp': '1059\n', 'X-n613-k62.vrp': '62330\n'}"
K5E4C10J1,"{'X-n524-k153.vrp': '', 'X-n261-k13.vrp': '28013\n', 'X-n298-k31.vrp': '35905\n', 'X-n655-k131.vrp': '107601\n', 'Golden_2.vrp': '8544\n', 'CMT2.vrp': '843\n', 'X-n129-k18.vrp': '29839\n', 'X-n670-k130.vrp': '', 'X-n876-k59.vrp': '103074\n', 'Golden_9.vrp': '523\n'}"
K5E4C15J1,"{'X-n449-k29.vrp': '57703\n', 'Golden_14.vrp': '1130\n', 'X-n401-k29.vrp': '68255\n', 'X-n393-k38.vrp': '39928\n', 'X-n359-k29.vrp': '53617\n', 'X-n162-k11.vrp': '14286\n', 'X-n251-k28.vrp': '39610\n', 'X-n322-k28.vrp': '30997\n', 'X-n308-k13.vrp': '26563\n', 'X-n106-k14.vrp': '26635\n', 'X-n181-k23.vrp': '25866\n', 'X-n195-k51.vrp': '45104\n', 'X-n733-k159.vrp': '141251\n', 'X-n125-k30.vrp': '56731\n', 'X-n916-k207.vrp': '336012\n'}"
K7E5C10J1,"{'CMT4.vrp': '1039\n', 'X-n186-k15.vrp': '24753\n', 'X-n641-k35.vrp': '66756\n', 'CMT10.vrp': '1402\n', 'X-n190-k8.vrp': '17464\n', 'X-n480-k70.vrp': '91569\n', 'Golden_3.vrp': '11334\n', 'X-n247-k50.vrp': '', 'X-n167-k10.vrp': '21070\n', 'X-n153-k22.vrp': '21577\n'}"
K7E4C15J1,"{'X-n837-k142.vrp': '198701\n', 'X-n129-k18.vrp': '30004\n', 'X-n480-k70.vrp': '92103\n', 'X-n401-k29.vrp': '68255\n', 'X-n548-k50.vrp': '88448\n', 'X-n280-k17.vrp': '34394\n', 'X-n327-k20.vrp': '28874\n', 'X-n351-k40.vrp': '27006\n', 'X-n783-k48.vrp': '77149\n', 'X-n819-k171.vrp': '162576\n', 'X-n536-k96.vrp': '97165\n', 'CMT13.vrp': '1561\n', 'X-n384-k52.vrp': '68012\n', 'Golden_6.vrp': '8583\n', 'Golden_15.vrp': '1406\n'}"
K5E3C15J1,"{'Golden_10.vrp': '667\n', 'X-n303-k21.vrp': '22567\n', 'X-n172-k51.vrp': '46417\n', 'X-n204-k19.vrp': '20091\n', 'X-n200-k36.vrp': '60167\n', 'X-n266-k58.vrp': '77371\n', 'X-n298-k31.vrp': '35871\n', 'X-n1001-k43.vrp': '77303\n', 'X-n548-k50.vrp': '88448\n', 'Golden_17.vrp': '710\n', 'CMT12.vrp': '824\n', 'X-n701-k44.vrp': '85741\n', 'CMT10.vrp': '1433\n', 'CMT8.vrp': '856\n', 'X-n261-k13.vrp': '27639\n'}"
K7E6C10J1,"{'X-n359-k29.vrp': '53626\n', 'Golden_19.vrp': '1396\n', 'Golden_20.vrp': '1895\n', 'X-n895-k37.vrp': '57194\n', 'CMT8.vrp': '859\n', 'X-n270-k35.vrp': '36086\n', 'X-n251-k28.vrp': '39712\n', 'X-n223-k34.vrp': '41627\n', 'Golden_8.vrp': '12079\n', 'Golden_6.vrp': '8594\n'}"
K3E3C15J1,"{'CMT5.vrp': '1333\n', 'X-n214-k11.vrp': '11354\n', 'X-n449-k29.vrp': '58490\n', 'X-n670-k130.vrp': '', 'X-n195-k51.vrp': '45104\n', 'X-n115-k10.vrp': '12747\n', 'X-n313-k71.vrp': '96532\n', 'X-n242-k48.vrp': '84855\n', 'X-n317-k53.vrp': '78954\n', 'X-n308-k13.vrp': '26867\n', 'X-n979-k58.vrp': '125297\n', 'X-n491-k59.vrp': '69530\n', 'X-n733-k159.vrp': '141197\n', 'CMT2.vrp': '839\n', 'CMT13.vrp': '1561\n'}"
K5E3C10J1,"{'CMT9.vrp': '1172\n', 'X-n143-k7.vrp': '16239\n', 'Golden_10.vrp': '660\n', 'X-n251-k28.vrp': '39712\n', 'X-n110-k13.vrp': '15157\n', 'X-n376-k94.vrp': '148624\n', 'X-n573-k30.vrp': '52061\n', 'Golden_14.vrp': '1139\n', 'X-n162-k11.vrp': '14385\n', 'X-n134-k13.vrp': '11120\n'}"
K3E2C18J1,"{'X-n393-k38.vrp': '39564\n', 'X-n313-k71.vrp': '96167\n', 'CMT9.vrp': '1172\n', 'X-n284-k15.vrp': '21139\n', 'CMT14.vrp': '865\n', 'X-n327-k20.vrp': '28706\n', 'X-n167-k10.vrp': '21173\n', 'CMT2.vrp': '846\n', 'Golden_3.vrp': '11384\n', 'X-n303-k21.vrp': '22377\n', 'X-n344-k43.vrp': '43409\n', 'X-n157-k13.vrp': '16940\n', 'X-n599-k92.vrp': '111625\n', 'X-n936-k151.vrp': '139358\n', 'CMT4.vrp': '1039\n', 'X-n895-k37.vrp': '57568\n', 'X-n491-k59.vrp': '69286\n', 'X-n979-k58.vrp': '125411\n'}"
